ffc_band,yearmonth(bca),Total
10-20,2016 Feb,1
10-20,2016 Mar,0
10-20,2016 Apr,0
10-20,2016 May,0
10-20,2016 Jun,0
10-20,2016 Jul,0
10-20,2016 Aug,0
10-20,2016 Sep,0
10-20,2016 Oct,1
10-20,2016 Nov,0
10-20,2016 Dec,1
10-20,2017 Jan,0
10-20,2017 Feb,0
10-20,2017 Mar,1
10-20,2017 Apr,0
10-20,2017 May,0
10-20,2017 Jun,1
10-20,2017 Jul,0
10-20,2017 Aug,1
10-20,2017 Sep,1
10-20,2017 Oct,0
10-20,2017 Nov,1
10-20,2017 Dec,0
10-20,2018 Jan,0
10-20,2018 Feb,0
10-20,2018 Mar,0
10-20,2018 Apr,0
10-20,2018 May,0
10-20,2018 Jun,0
10-20,2018 Jul,0
10-20,2018 Aug,0
10-20,2018 Sep,0
10-20,2018 Oct,0
10-20,2018 Nov,0
10-20,2018 Dec,1
10-20,2019 Jan,0
10-20,2019 Feb,0
10-20,2019 Mar,0
10-20,2019 Apr,0
10-20,2019 May,0
10-20,2019 Jun,0
10-20,2019 Jul,0
10-20,2019 Aug,0
10-20,2019 Sep,0
10-20,2019 Oct,0
10-20,2019 Nov,0
10-20,2019 Dec,1
10-20,2020 Jan,0
10-20,2020 Feb,0
10-20,2020 Mar,0
10-20,2020 Apr,1
10-20,2020 May,0
10-20,2020 Jun,0
10-20,2020 Jul,0
10-20,2020 Aug,0
10-20,2020 Sep,1
10-20,2020 Oct,0
10-20,2020 Nov,0
10-20,2020 Dec,0
10-20,2021 Jan,0
10-20,2021 Feb,1
10-20,2021 Mar,0
10-20,2021 Apr,0
10-20,2021 May,1
10-20,2021 Jun,0
10-20,2021 Jul,0
10-20,2021 Aug,0
10-20,2021 Sep,1
10-20,2021 Oct,0
10-20,2021 Nov,0
10-20,2021 Dec,0
10-20,2022 Jan,0
10-20,2022 Feb,0
10-20,2022 Mar,0
10-20,2022 Apr,0
10-20,2022 May,0
10-20,2022 Jun,0
10-20,2022 Jul,0
10-20,2022 Aug,0
10-20,2022 Sep,0
10-20,2022 Oct,0
10-20,2022 Nov,1
10-20,2022 Dec,0
10-20,2023 Jan,0
10-20,2023 Feb,0
10-20,2023 Mar,0
10-20,2023 Apr,1
10-20,2023 May,0
10-20,2023 Jun,0
10-20,2023 Jul,1
10-20,2023 Aug,0
10-20,2023 Sep,0
10-20,2023 Oct,1
10-20,2023 Nov,1
10-20,2023 Dec,0
10-20,2024 Jan,0
10-20,2024 Feb,0
10-20,2024 Mar,2
10-20,2024 Apr,1
10-20,2024 May,0
10-20,2024 Jun,2
10-20,2024 Jul,0
10-20,2024 Aug,0
10-20,2024 Sep,0
10-20,2024 Oct,0
10-20,2024 Nov,0
10-20,2024 Dec,0
10-20,2025 Jan,0
10-20,2025 Feb,0
10-20,2025 Mar,0
10-20,2025 Apr,0
10-20,2025 May,0
10-20,2025 Jun,0
10-20,2025 Jul,0
10-20,2025 Aug,0
10-20,2025 Sep,0
10-20,2025 Oct,0
10-20,2025 Nov,0
10-20,2025 Dec,0
10-20,2026 Jan,0
10-20,2026 Feb,0
10-20,2026 Mar,0
10-20,2026 Apr,0
10-20,2026 May,0
10-20,2026 Jun,0
10-20,2026 Jul,1
10-20,2026 Aug,0
10-20,2026 Sep,0
10-20,2026 Oct,0
10-20,2026 Nov,0
10-20,2026 Dec,1
10-20,2027 Jan,0
10-20,2027 Feb,0
10-20,2027 Mar,0
10-20,2027 Apr,0
10-20,2027 May,0
10-20,2027 Jun,0
10-20,2027 Jul,0
10-20,2027 Aug,0
10-20,2027 Sep,0
10-20,2027 Oct,0
10-20,2027 Nov,1
10-20,2027 Dec,0
10-20,2028 Jan,0
10-20,2028 Feb,0
10-20,2028 Mar,0
10-20,2028 Apr,0
10-20,2028 May,0
10-20,2028 Jun,0
10-20,2028 Jul,0
10-20,2028 Aug,0
10-20,2028 Sep,0
10-20,2028 Oct,1
10-20,2028 Nov,0
10-20,2028 Dec,0
10-20,2029 Jan,0
10-20,2029 Feb,1
10-20,2029 Mar,0
10-20,2029 Apr,1
20-50,2016 May,2
20-50,2016 Jun,0
20-50,2016 Jul,0
20-50,2016 Aug,0
20-50,2016 Sep,1
20-50,2016 Oct,0
20-50,2016 Nov,0
20-50,2016 Dec,0
20-50,2017 Jan,0
20-50,2017 Feb,0
20-50,2017 Mar,0
20-50,2017 Apr,0
20-50,2017 May,0
20-50,2017 Jun,0
20-50,2017 Jul,0
20-50,2017 Aug,0
20-50,2017 Sep,0
20-50,2017 Oct,1
20-50,2017 Nov,2
20-50,2017 Dec,2
20-50,2018 Jan,0
20-50,2018 Feb,0
20-50,2018 Mar,0
20-50,2018 Apr,0
20-50,2018 May,1
20-50,2018 Jun,0
20-50,2018 Jul,0
20-50,2018 Aug,1
20-50,2018 Sep,0
20-50,2018 Oct,0
20-50,2018 Nov,1
20-50,2018 Dec,0
20-50,2019 Jan,0
20-50,2019 Feb,1
20-50,2019 Mar,0
20-50,2019 Apr,0
20-50,2019 May,0
20-50,2019 Jun,0
20-50,2019 Jul,2
20-50,2019 Aug,0
20-50,2019 Sep,0
20-50,2019 Oct,0
20-50,2019 Nov,0
20-50,2019 Dec,0
20-50,2020 Jan,0
20-50,2020 Feb,1
20-50,2020 Mar,0
20-50,2020 Apr,0
20-50,2020 May,0
20-50,2020 Jun,0
20-50,2020 Jul,2
20-50,2020 Aug,0
20-50,2020 Sep,0
20-50,2020 Oct,0
20-50,2020 Nov,1
20-50,2020 Dec,0
20-50,2021 Jan,0
20-50,2021 Feb,0
20-50,2021 Mar,0
20-50,2021 Apr,0
20-50,2021 May,1
20-50,2021 Jun,0
20-50,2021 Jul,0
20-50,2021 Aug,0
20-50,2021 Sep,1
20-50,2021 Oct,0
20-50,2021 Nov,0
20-50,2021 Dec,0
20-50,2022 Jan,1
20-50,2022 Feb,1
20-50,2022 Mar,0
20-50,2022 Apr,0
20-50,2022 May,0
20-50,2022 Jun,0
20-50,2022 Jul,0
20-50,2022 Aug,0
20-50,2022 Sep,0
20-50,2022 Oct,0
20-50,2022 Nov,0
20-50,2022 Dec,0
20-50,2023 Jan,0
20-50,2023 Feb,1
20-50,2023 Mar,0
20-50,2023 Apr,0
20-50,2023 May,0
20-50,2023 Jun,0
20-50,2023 Jul,0
20-50,2023 Aug,0
20-50,2023 Sep,0
20-50,2023 Oct,0
20-50,2023 Nov,0
20-50,2023 Dec,0
20-50,2024 Jan,0
20-50,2024 Feb,1
20-50,2024 Mar,0
20-50,2024 Apr,0
20-50,2024 May,0
20-50,2024 Jun,0
20-50,2024 Jul,0
20-50,2024 Aug,0
20-50,2024 Sep,1
20-50,2024 Oct,0
20-50,2024 Nov,0
20-50,2024 Dec,0
20-50,2025 Jan,0
20-50,2025 Feb,0
20-50,2025 Mar,0
20-50,2025 Apr,1
20-50,2025 May,0
20-50,2025 Jun,0
20-50,2025 Jul,0
20-50,2025 Aug,0
20-50,2025 Sep,0
20-50,2025 Oct,0
20-50,2025 Nov,0
20-50,2025 Dec,0
20-50,2026 Jan,0
20-50,2026 Feb,0
20-50,2026 Mar,0
20-50,2026 Apr,0
20-50,2026 May,0
20-50,2026 Jun,0
20-50,2026 Jul,0
20-50,2026 Aug,0
20-50,2026 Sep,1
20-50,2026 Oct,0
20-50,2026 Nov,0
20-50,2026 Dec,0
20-50,2027 Jan,0
20-50,2027 Feb,0
20-50,2027 Mar,0
20-50,2027 Apr,0
20-50,2027 May,0
20-50,2027 Jun,0
20-50,2027 Jul,0
20-50,2027 Aug,1
20-50,2027 Sep,0
20-50,2027 Oct,0
20-50,2027 Nov,0
20-50,2027 Dec,0
20-50,2028 Jan,0
20-50,2028 Feb,0
20-50,2028 Mar,2
20-50,2028 Apr,0
20-50,2028 May,0
20-50,2028 Jun,0
20-50,2028 Jul,0
20-50,2028 Aug,0
20-50,2028 Sep,0
20-50,2028 Oct,1
20-50,2028 Nov,0
20-50,2028 Dec,0
20-50,2029 Jan,1
20-50,2029 Feb,0
20-50,2029 Mar,0
20-50,2029 Apr,0
20-50,2029 May,0
20-50,2029 Jun,0
20-50,2029 Jul,0
20-50,2029 Aug,1
5-10,2016 May,1
5-10,2016 Jun,0
5-10,2016 Jul,0
5-10,2016 Aug,0
5-10,2016 Sep,1
5-10,2016 Oct,0
5-10,2016 Nov,0
5-10,2016 Dec,1
5-10,2017 Jan,0
5-10,2017 Feb,1
5-10,2017 Mar,0
5-10,2017 Apr,0
5-10,2017 May,0
5-10,2017 Jun,2
5-10,2017 Jul,2
5-10,2017 Aug,0
5-10,2017 Sep,0
5-10,2017 Oct,3
5-10,2017 Nov,1
5-10,2017 Dec,1
5-10,2018 Jan,1
5-10,2018 Feb,0
5-10,2018 Mar,0
5-10,2018 Apr,0
5-10,2018 May,2
5-10,2018 Jun,1
5-10,2018 Jul,1
5-10,2018 Aug,0
5-10,2018 Sep,0
5-10,2018 Oct,0
5-10,2018 Nov,0
5-10,2018 Dec,0
5-10,2019 Jan,0
5-10,2019 Feb,0
5-10,2019 Mar,0
5-10,2019 Apr,1
5-10,2019 May,0
5-10,2019 Jun,1
5-10,2019 Jul,0
5-10,2019 Aug,0
5-10,2019 Sep,0
5-10,2019 Oct,0
5-10,2019 Nov,0
5-10,2019 Dec,0
5-10,2020 Jan,0
5-10,2020 Feb,0
5-10,2020 Mar,1
5-10,2020 Apr,0
5-10,2020 May,1
5-10,2020 Jun,0
5-10,2020 Jul,1
5-10,2020 Aug,0
5-10,2020 Sep,0
5-10,2020 Oct,0
5-10,2020 Nov,0
5-10,2020 Dec,0
5-10,2021 Jan,0
5-10,2021 Feb,0
5-10,2021 Mar,0
5-10,2021 Apr,1
5-10,2021 May,0
5-10,2021 Jun,0
5-10,2021 Jul,0
5-10,2021 Aug,3
5-10,2021 Sep,0
5-10,2021 Oct,0
5-10,2021 Nov,0
5-10,2021 Dec,0
5-10,2022 Jan,0
5-10,2022 Feb,0
5-10,2022 Mar,1
5-10,2022 Apr,1
5-10,2022 May,0
5-10,2022 Jun,0
5-10,2022 Jul,0
5-10,2022 Aug,0
5-10,2022 Sep,0
5-10,2022 Oct,0
5-10,2022 Nov,0
5-10,2022 Dec,0
5-10,2023 Jan,0
5-10,2023 Feb,0
5-10,2023 Mar,0
5-10,2023 Apr,0
5-10,2023 May,0
5-10,2023 Jun,0
5-10,2023 Jul,0
5-10,2023 Aug,1
5-10,2023 Sep,1
5-10,2023 Oct,0
5-10,2023 Nov,0
5-10,2023 Dec,0
5-10,2024 Jan,0
5-10,2024 Feb,0
5-10,2024 Mar,1
5-10,2024 Apr,2
5-10,2024 May,0
5-10,2024 Jun,3
5-10,2024 Jul,0
5-10,2024 Aug,0
5-10,2024 Sep,1
5-10,2024 Oct,0
5-10,2024 Nov,0
5-10,2024 Dec,1
5-10,2025 Jan,1
5-10,2025 Feb,0
5-10,2025 Mar,0
5-10,2025 Apr,0
5-10,2025 May,0
5-10,2025 Jun,0
5-10,2025 Jul,0
5-10,2025 Aug,0
5-10,2025 Sep,0
5-10,2025 Oct,0
5-10,2025 Nov,0
5-10,2025 Dec,0
5-10,2026 Jan,0
5-10,2026 Feb,0
5-10,2026 Mar,0
5-10,2026 Apr,0
5-10,2026 May,0
5-10,2026 Jun,0
5-10,2026 Jul,1
5-10,2026 Aug,0
5-10,2026 Sep,1
5-10,2026 Oct,0
5-10,2026 Nov,0
5-10,2026 Dec,0
5-10,2027 Jan,0
5-10,2027 Feb,0
5-10,2027 Mar,0
5-10,2027 Apr,0
5-10,2027 May,0
5-10,2027 Jun,1
5-10,2027 Jul,1
5-10,2027 Aug,0
5-10,2027 Sep,1
5-10,2027 Oct,0
5-10,2027 Nov,0
5-10,2027 Dec,0
5-10,2028 Jan,1
5-10,2028 Feb,0
5-10,2028 Mar,0
5-10,2028 Apr,0
5-10,2028 May,1
5-10,2028 Jun,0
5-10,2028 Jul,0
5-10,2028 Aug,0
5-10,2028 Sep,0
5-10,2028 Oct,0
5-10,2028 Nov,0
5-10,2028 Dec,0
5-10,2029 Jan,0
5-10,2029 Feb,0
5-10,2029 Mar,0
5-10,2029 Apr,1
5-10,2029 May,0
5-10,2029 Jun,1
50-80,2020 Feb,1
50-80,2020 Mar,0
50-80,2020 Apr,0
50-80,2020 May,0
50-80,2020 Jun,0
50-80,2020 Jul,0
50-80,2020 Aug,0
50-80,2020 Sep,0
50-80,2020 Oct,0
50-80,2020 Nov,1
50-80,2020 Dec,0
50-80,2021 Jan,0
50-80,2021 Feb,0
50-80,2021 Mar,0
50-80,2021 Apr,0
50-80,2021 May,0
50-80,2021 Jun,0
50-80,2021 Jul,1
50-80,2021 Aug,0
50-80,2021 Sep,0
50-80,2021 Oct,1
50-80,2021 Nov,0
50-80,2021 Dec,0
50-80,2022 Jan,0
50-80,2022 Feb,0
50-80,2022 Mar,0
50-80,2022 Apr,0
50-80,2022 May,0
50-80,2022 Jun,0
50-80,2022 Jul,0
50-80,2022 Aug,1
50-80,2022 Sep,0
50-80,2022 Oct,0
50-80,2022 Nov,0
50-80,2022 Dec,0
50-80,2023 Jan,0
50-80,2023 Feb,0
50-80,2023 Mar,0
50-80,2023 Apr,0
50-80,2023 May,0
50-80,2023 Jun,0
50-80,2023 Jul,0
50-80,2023 Aug,0
50-80,2023 Sep,0
50-80,2023 Oct,0
50-80,2023 Nov,0
50-80,2023 Dec,0
50-80,2024 Jan,0
50-80,2024 Feb,0
50-80,2024 Mar,0
50-80,2024 Apr,0
50-80,2024 May,0
50-80,2024 Jun,1
50-80,2024 Jul,0
50-80,2024 Aug,0
50-80,2024 Sep,0
50-80,2024 Oct,0
50-80,2024 Nov,0
50-80,2024 Dec,0
50-80,2025 Jan,0
50-80,2025 Feb,0
50-80,2025 Mar,0
50-80,2025 Apr,0
50-80,2025 May,0
50-80,2025 Jun,0
50-80,2025 Jul,0
50-80,2025 Aug,0
50-80,2025 Sep,0
50-80,2025 Oct,0
50-80,2025 Nov,0
50-80,2025 Dec,0
50-80,2026 Jan,0
50-80,2026 Feb,0
50-80,2026 Mar,0
50-80,2026 Apr,0
50-80,2026 May,0
50-80,2026 Jun,0
50-80,2026 Jul,0
50-80,2026 Aug,0
50-80,2026 Sep,0
50-80,2026 Oct,0
50-80,2026 Nov,0
50-80,2026 Dec,0
50-80,2027 Jan,0
50-80,2027 Feb,0
50-80,2027 Mar,0
50-80,2027 Apr,1
50-80,2027 May,0
50-80,2027 Jun,0
50-80,2027 Jul,0
50-80,2027 Aug,0
50-80,2027 Sep,0
50-80,2027 Oct,0
50-80,2027 Nov,0
50-80,2027 Dec,0
50-80,2028 Jan,0
50-80,2028 Feb,0
50-80,2028 Mar,0
50-80,2028 Apr,0
50-80,2028 May,0
50-80,2028 Jun,0
50-80,2028 Jul,1
50-80,2028 Aug,0
50-80,2028 Sep,0
50-80,2028 Oct,0
50-80,2028 Nov,0
50-80,2028 Dec,0
50-80,2029 Jan,0
50-80,2029 Feb,0
50-80,2029 Mar,0
50-80,2029 Apr,1
< = 5,2016 Feb,3
< = 5,2016 Mar,2
< = 5,2016 Apr,2
< = 5,2016 May,7
< = 5,2016 Jun,6
< = 5,2016 Jul,3
< = 5,2016 Aug,2
< = 5,2016 Sep,1
< = 5,2016 Oct,2
< = 5,2016 Nov,4
< = 5,2016 Dec,2
< = 5,2017 Jan,2
< = 5,2017 Feb,8
< = 5,2017 Mar,1
< = 5,2017 Apr,3
< = 5,2017 May,1
< = 5,2017 Jun,2
< = 5,2017 Jul,3
< = 5,2017 Aug,3
< = 5,2017 Sep,0
< = 5,2017 Oct,2
< = 5,2017 Nov,4
< = 5,2017 Dec,10
< = 5,2018 Jan,1
< = 5,2018 Feb,2
< = 5,2018 Mar,2
< = 5,2018 Apr,4
< = 5,2018 May,6
< = 5,2018 Jun,6
< = 5,2018 Jul,3
< = 5,2018 Aug,1
< = 5,2018 Sep,1
< = 5,2018 Oct,4
< = 5,2018 Nov,2
< = 5,2018 Dec,4
< = 5,2019 Jan,3
< = 5,2019 Feb,1
< = 5,2019 Mar,0
< = 5,2019 Apr,2
< = 5,2019 May,3
< = 5,2019 Jun,4
< = 5,2019 Jul,1
< = 5,2019 Aug,2
< = 5,2019 Sep,4
< = 5,2019 Oct,8
< = 5,2019 Nov,4
< = 5,2019 Dec,1
< = 5,2020 Jan,1
< = 5,2020 Feb,1
< = 5,2020 Mar,2
< = 5,2020 Apr,3
< = 5,2020 May,0
< = 5,2020 Jun,6
< = 5,2020 Jul,2
< = 5,2020 Aug,1
< = 5,2020 Sep,5
< = 5,2020 Oct,3
< = 5,2020 Nov,4
< = 5,2020 Dec,2
< = 5,2021 Jan,2
< = 5,2021 Feb,2
< = 5,2021 Mar,9
< = 5,2021 Apr,3
< = 5,2021 May,1
< = 5,2021 Jun,5
< = 5,2021 Jul,1
< = 5,2021 Aug,8
< = 5,2021 Sep,4
< = 5,2021 Oct,6
< = 5,2021 Nov,3
< = 5,2021 Dec,3
< = 5,2022 Jan,4
< = 5,2022 Feb,4
< = 5,2022 Mar,7
< = 5,2022 Apr,1
< = 5,2022 May,1
< = 5,2022 Jun,5
< = 5,2022 Jul,1
< = 5,2022 Aug,1
< = 5,2022 Sep,2
< = 5,2022 Oct,0
< = 5,2022 Nov,2
< = 5,2022 Dec,0
< = 5,2023 Jan,3
< = 5,2023 Feb,1
< = 5,2023 Mar,1
< = 5,2023 Apr,1
< = 5,2023 May,2
< = 5,2023 Jun,1
< = 5,2023 Jul,8
< = 5,2023 Aug,1
< = 5,2023 Sep,3
< = 5,2023 Oct,2
< = 5,2023 Nov,1
< = 5,2023 Dec,4
< = 5,2024 Jan,0
< = 5,2024 Feb,1
< = 5,2024 Mar,5
< = 5,2024 Apr,7
< = 5,2024 May,8
< = 5,2024 Jun,4
< = 5,2024 Jul,4
< = 5,2024 Aug,1
< = 5,2024 Sep,1
< = 5,2024 Oct,0
< = 5,2024 Nov,0
< = 5,2024 Dec,0
< = 5,2025 Jan,0
< = 5,2025 Feb,0
< = 5,2025 Mar,0
< = 5,2025 Apr,0
< = 5,2025 May,0
< = 5,2025 Jun,0
< = 5,2025 Jul,0
< = 5,2025 Aug,0
< = 5,2025 Sep,0
< = 5,2025 Oct,0
< = 5,2025 Nov,0
< = 5,2025 Dec,0
< = 5,2026 Jan,0
< = 5,2026 Feb,0
< = 5,2026 Mar,0
< = 5,2026 Apr,0
< = 5,2026 May,0
< = 5,2026 Jun,0
< = 5,2026 Jul,1
< = 5,2026 Aug,1
< = 5,2026 Sep,0
< = 5,2026 Oct,0
< = 5,2026 Nov,0
< = 5,2026 Dec,0
< = 5,2027 Jan,0
< = 5,2027 Feb,1
< = 5,2027 Mar,0
< = 5,2027 Apr,0
< = 5,2027 May,0
< = 5,2027 Jun,0
< = 5,2027 Jul,0
< = 5,2027 Aug,0
< = 5,2027 Sep,0
< = 5,2027 Oct,0
< = 5,2027 Nov,1
< = 5,2027 Dec,0
< = 5,2028 Jan,0
< = 5,2028 Feb,0
< = 5,2028 Mar,0
< = 5,2028 Apr,0
< = 5,2028 May,1
> 80,2016 Mar,1
> 80,2016 Apr,0
> 80,2016 May,0
> 80,2016 Jun,0
> 80,2016 Jul,0
> 80,2016 Aug,0
> 80,2016 Sep,0
> 80,2016 Oct,0
> 80,2016 Nov,0
> 80,2016 Dec,0
> 80,2017 Jan,0
> 80,2017 Feb,0
> 80,2017 Mar,0
> 80,2017 Apr,0
> 80,2017 May,0
> 80,2017 Jun,0
> 80,2017 Jul,0
> 80,2017 Aug,0
> 80,2017 Sep,0
> 80,2017 Oct,0
> 80,2017 Nov,0
> 80,2017 Dec,0
> 80,2018 Jan,0
> 80,2018 Feb,0
> 80,2018 Mar,0
> 80,2018 Apr,0
> 80,2018 May,0
> 80,2018 Jun,0
> 80,2018 Jul,0
> 80,2018 Aug,0
> 80,2018 Sep,0
> 80,2018 Oct,0
> 80,2018 Nov,0
> 80,2018 Dec,0
> 80,2019 Jan,0
> 80,2019 Feb,0
> 80,2019 Mar,0
> 80,2019 Apr,0
> 80,2019 May,0
> 80,2019 Jun,0
> 80,2019 Jul,0
> 80,2019 Aug,0
> 80,2019 Sep,0
> 80,2019 Oct,0
> 80,2019 Nov,0
> 80,2019 Dec,0
> 80,2020 Jan,0
> 80,2020 Feb,0
> 80,2020 Mar,0
> 80,2020 Apr,0
> 80,2020 May,0
> 80,2020 Jun,0
> 80,2020 Jul,0
> 80,2020 Aug,0
> 80,2020 Sep,0
> 80,2020 Oct,0
> 80,2020 Nov,0
> 80,2020 Dec,0
> 80,2021 Jan,0
> 80,2021 Feb,0
> 80,2021 Mar,0
> 80,2021 Apr,0
> 80,2021 May,0
> 80,2021 Jun,0
> 80,2021 Jul,1
> 80,2021 Aug,0
> 80,2021 Sep,0
> 80,2021 Oct,0
> 80,2021 Nov,0
> 80,2021 Dec,0
> 80,2022 Jan,0
> 80,2022 Feb,1
> 80,2022 Mar,0
> 80,2022 Apr,0
> 80,2022 May,0
> 80,2022 Jun,0
> 80,2022 Jul,1
> 80,2022 Aug,0
> 80,2022 Sep,0
> 80,2022 Oct,0
> 80,2022 Nov,0
> 80,2022 Dec,0
> 80,2023 Jan,0
> 80,2023 Feb,0
> 80,2023 Mar,0
> 80,2023 Apr,0
> 80,2023 May,0
> 80,2023 Jun,1
> 80,2023 Jul,1
> 80,2023 Aug,0
> 80,2023 Sep,0
> 80,2023 Oct,0
> 80,2023 Nov,0
> 80,2023 Dec,0
> 80,2024 Jan,0
> 80,2024 Feb,0
> 80,2024 Mar,0
> 80,2024 Apr,0
> 80,2024 May,0
> 80,2024 Jun,0
> 80,2024 Jul,0
> 80,2024 Aug,0
> 80,2024 Sep,0
> 80,2024 Oct,0
> 80,2024 Nov,0
> 80,2024 Dec,0
> 80,2025 Jan,0
> 80,2025 Feb,0
> 80,2025 Mar,0
> 80,2025 Apr,0
> 80,2025 May,0
> 80,2025 Jun,1
> 80,2025 Jul,0
> 80,2025 Aug,0
> 80,2025 Sep,0
> 80,2025 Oct,0
> 80,2025 Nov,0
> 80,2025 Dec,0
> 80,2026 Jan,0
> 80,2026 Feb,0
> 80,2026 Mar,0
> 80,2026 Apr,0
> 80,2026 May,0
> 80,2026 Jun,0
> 80,2026 Jul,0
> 80,2026 Aug,0
> 80,2026 Sep,0
> 80,2026 Oct,0
> 80,2026 Nov,0
> 80,2026 Dec,0
> 80,2027 Jan,0
> 80,2027 Feb,0
> 80,2027 Mar,0
> 80,2027 Apr,0
> 80,2027 May,1
> 80,2027 Jun,0
> 80,2027 Jul,0
> 80,2027 Aug,0
> 80,2027 Sep,0
> 80,2027 Oct,0
> 80,2027 Nov,2
> 80,2027 Dec,0
> 80,2028 Jan,0
> 80,2028 Feb,0
> 80,2028 Mar,0
> 80,2028 Apr,0
> 80,2028 May,0
> 80,2028 Jun,0
> 80,2028 Jul,0
> 80,2028 Aug,0
> 80,2028 Sep,0
> 80,2028 Oct,0
> 80,2028 Nov,0
> 80,2028 Dec,0
> 80,2029 Jan,0
> 80,2029 Feb,0
> 80,2029 Mar,1
> 80,2029 Apr,0
> 80,2029 May,0
> 80,2029 Jun,0
> 80,2029 Jul,0
> 80,2029 Aug,0
> 80,2029 Sep,0
> 80,2029 Oct,0
> 80,2029 Nov,0
> 80,2029 Dec,0
> 80,2030 Jan,0
> 80,2030 Feb,0
> 80,2030 Mar,0
> 80,2030 Apr,0
> 80,2030 May,0
> 80,2030 Jun,0
> 80,2030 Jul,0
> 80,2030 Aug,0
> 80,2030 Sep,0
> 80,2030 Oct,0
> 80,2030 Nov,0
> 80,2030 Dec,1
